2024-04-26T18:52:58.919538+00:00Z
X=0.00, Y=0.00, Z=0.95
X=-0.02, Y=-0.02, Z=0.94
X=0.00, Y=0.00, Z=0.95
X=-0.02, Y=-0.02, Z=0.97
X=0.00, Y=0.00, Z=0.95
X=0.00, Y=0.00, Z=0.97
X=0.00, Y=0.00, Z=0.95
X=0.00, Y=0.00, Z=0.97
X=0.00, Y=0.00, Z=0.95
X=0.00, Y=-0.02, Z=0.95
X=0.00, Y=-0.02, Z=0.95
X=0.00, Y=0.00, Z=0.95
X=0.00, Y=0.00, Z=0.98
X=0.00, Y=-0.02, Z=0.95
X=0.00, Y=-0.02, Z=0.95
X=0.00, Y=0.00, Z=0.88
X=0.00, Y=0.00, Z=0.95
X=0.00, Y=-0.02, Z=0.95
X=0.00, Y=0.00, Z=0.94
X=0.00, Y=-0.02, Z=0.94
X=0.00, Y=0.00, Z=0.94
X=0.00, Y=0.00, Z=0.97
X=0.00, Y=0.00, Z=0.97
X=0.00, Y=-0.02, Z=0.97
X=0.00, Y=0.00, Z=0.95
X=0.00, Y=-0.02, Z=0.97
X=0.00, Y=-0.02, Z=0.94
X=-0.02, Y=0.00, Z=0.97
X=0.05, Y=0.00, Z=0.97
X=0.00, Y=-0.02, Z=0.95
X=0.00, Y=0.00, Z=0.95
X=0.00, Y=0.00, Z=0.95
X=0.00, Y=-0.02, Z=0.94
X=0.00, Y=-0.02, Z=0.97
X=-0.06, Y=-0.02, Z=0.95
X=-0.06, Y=0.00, Z=0.97
X=0.00, Y=-0.02, Z=0.97
X=0.05, Y=0.00, Z=0.98
X=0.00, Y=-0.02, Z=0.95
X=0.00, Y=-0.02, Z=0.97
X=0.00, Y=0.00, Z=0.94
X=0.00, Y=-0.02, Z=0.97
X=0.00, Y=-0.02, Z=0.97
X=-0.06, Y=-0.02, Z=0.97
X=-0.06, Y=0.00, Z=0.94
X=0.00, Y=-0.02, Z=0.97
X=0.00, Y=0.00, Z=0.95
X=-0.02, Y=-0.02, Z=0.94
X=0.00, Y=0.00, Z=0.98
X=-0.06, Y=0.00, Z=0.97
X=-0.06, Y=0.00, Z=0.95
X=0.00, Y=0.00, Z=0.94
